Time,mq2_GI,mq4_GI,,,,,,,,,,,,
23:00:00,58,92,,,,,,,,,,,,
23:10:00,57,92,,,,,,,,,,,,
23:20:00,57,92,,,,,,,,,,,,
23:30:00,57,92,,,,,,,,,,,,
23:40:00,57,92,,,,,,,,,,,,
23:50:00,57,92,,,,,,,,,,,,
24:00:00,57,92,,,,,,,,,,,,
24:10:00,57,92,,,,,,,,,,,,
24:20:00,57,92,,,,,,,,,,,,
0:10:00,60,94,,,,,,,,,,,,
0:20:00,59,93,,,,,,,,,,,,
0:30:00,59,93,,,,,,,,,,,,
0:40:00,59,93,,,,,,,,,,,,
0:50:00,59,93,,,,,,,,,,,,
1:00:00,59,93,,,,,,,,,,,,
1:10:00,59,93,,,,,,,,,,,,
1:20:00,59,93,,,,,,,,,,,,
1:30:00,59,93,,,,,,,,,,,,
1:40:00,59,94,,,,,,,,,,,,
1:50:00,59,94,,,,,,,,,,,,
2:00:00,59,94,,,,,,,,,,,,
2:10:00,59,94,,,,,,,,,,,,
2:20:00,59,94,,,,,,,,,,,,
2:30:00,59,94,,,,,,,,,,,,
2:40:00,59,94,,,,,,,,,,,,
2:50:00,59,94,,,,,,,,,,,,
3:00:00,59,94,,,,,,,,,,,,
3:10:00,59,94,,,,,,,,,,,,
3:20:00,59,94,,,,,,,,,,,,
3:30:00,59,94,,,,,,,,,,,,
3:40:00,59,94,,,,,,,,,,,,
3:50:00,59,94,,,,,,,,,,,,
4:00:00,59,94,,,,,,,,,,,,
4:10:00,59,94,,,,,,,,,,,,
4:20:00,59,94,,,,,,,,,,,,
4:30:00,59,94,,,,,,,,,,,,
4:40:00,59,94,,,,,,,,,,,,
4:50:00,59,94,,,,,,,,,,,,
5:00:00,59,94,,,,,,,,,,,,
5:10:00,59,94,,,,,,,,,,,,
5:20:00,59,94,,,,,,,,,,,,
5:30:00,59,94,,,,,,,,,,,,
5:40:00,59,94,,,,,,,,,,,,
5:50:00,59,94,,,,,,,,,,,,
6:00:00,59,94,,,,,,,,,,,,
6:10:00,59,94,,,,,,,,,,,,
6:20:00,59,94,,,,,,,,,,,,
6:30:00,59,94,,,,,,,,,,,,
6:40:00,59,94,,,,,,,,,,,,
6:50:00,59,94,,,,,,,,,,,,
7:00:00,59,94,,,,,,,,,,,,
7:10:00,59,94,,,,,,,,,,,,
7:20:00,58,94,,,,,,,,,,,,
7:30:00,58,94,,,,,,,,,,,,
7:40:00,58,94,,,,,,,,,,,,
7:50:00,58,94,,,,,,,,,,,,
8:00:00,58,94,,,,,,,,,,,,
8:10:00,58,94,,,,,,,,,,,,
8:20:00,58,94,,,,,,,,,,,,
8:30:00,58,94,,,,,,,,,,,,
8:40:00,58,94,,,,,,,,,,,,
8:50:00,58,94,,,,,,,,,,,,
9:00:00,58,94,,,,,,,,,,,,
9:10:00,58,94,,,,,,,,,,,,
9:20:00,58,94,,,,,,,,,,,,
9:30:00,58,94,,,,,,,,,,,,
9:40:00,58,94,,,,,,,,,,,,
9:50:00,58,94,,,,,,,,,,,,
10:00:00,58,94,,,,,,,,,,,,
10:10:00,58,94,,,,,,,,,,,,
10:20:00,58,94,,,,,,,,,,,,
10:30:00,58,94,,,,,,,,,,,,
10:40:00,58,94,,,,,,,,,,,,
10:50:00,58,94,,,,,,,,,,,,
11:00:00,58,94,,,,,,,,,,,,
11:10:00,58,94,,,,,,,,,,,,
11:20:00,58,94,,,,,,,,,,,,
11:30:00,58,94,,,,,,,,,,,,
11:40:00,58,94,,,,,,,,,,,,
11:50:00,58,94,,,,,,,,,,,,
