mq2,mq4,Time
14,7,17:27.6
14,7,17:42.6
14,7,17:57.6
14,7,18:12.6
14,7,18:27.6
14,7,18:42.6
14,7,18:57.6
14,7,19:12.6
14,7,19:27.6
14,7,19:42.6
14,7,19:57.6
14,7,20:12.6
14,7,20:27.6
14,7,20:42.6
14,7,20:57.6
14,7,21:12.6
14,7,21:27.6
14,7,21:42.6
14,6,21:57.6
14,6,22:12.6
14,6,22:27.6
14,6,22:42.6
14,6,22:57.6
14,6,23:12.6
14,6,23:27.6
14,6,23:42.6
14,6,23:57.6
14,6,24:12.6
14,6,24:27.6
14,6,24:42.6
14,6,24:57.6
14,6,25:12.6
14,6,25:27.6
14,6,25:42.6
14,6,25:57.6
14,6,26:12.6
14,6,26:27.6
14,6,26:42.6
15,6,26:57.6
14,6,27:12.6
15,6,27:27.6
15,6,27:42.6
15,6,27:57.6
15,6,28:12.6
15,6,28:27.6
14,6,28:42.6
15,6,28:57.6
15,6,29:12.6
15,6,29:27.6
15,6,29:42.6
15,6,29:57.6
15,6,30:12.6
15,6,30:27.6
15,6,30:42.6
15,6,30:57.6
15,6,31:12.6
15,6,31:27.6
15,6,31:42.6
15,6,31:57.6
15,6,32:12.6
15,6,32:27.6
15,6,32:42.6
15,6,32:57.6
15,6,33:12.6
15,6,33:27.6
15,6,33:42.6
15,6,33:57.6
15,6,34:12.6
15,6,34:27.6
15,6,34:42.6
15,6,34:57.6
15,6,35:12.6
15,6,35:27.6
15,6,35:42.6
15,6,35:57.6
15,6,36:12.6
15,6,36:27.6
15,6,36:42.6
15,6,36:57.6
15,6,37:12.6
15,6,37:27.6
15,6,37:42.6
15,6,37:57.6
15,6,38:12.6
15,6,38:27.6
15,6,38:42.6
15,6,38:57.6
15,6,39:12.6
15,6,39:27.6
15,6,39:42.6
15,6,39:57.6
15,6,40:12.6
15,6,40:27.6
15,6,40:42.6
15,6,40:57.6
15,6,41:12.6
15,6,41:27.6
15,6,41:42.6
15,6,41:57.6
15,6,42:12.6
15,6,42:27.6
15,6,42:42.6
15,6,42:57.6
15,6,43:12.6
15,6,43:27.6
15,6,43:42.6
15,6,43:57.6
15,6,44:12.6
15,6,44:27.6
15,6,44:42.6
15,6,44:57.6
15,6,45:12.6
15,6,45:27.6
15,6,45:42.6
15,6,45:57.6
15,6,46:12.6
15,6,46:27.6
15,6,46:42.6
